Name and Date,State,Duration,Ongoing
Santa Clara Valley Medical Center in San Jose — April 2024,California,3,No
O'Connor Hospital in San Jose — April 2024,California,3,No
St. Louise Regional Hospital in Gilroy — April 2024,California,3,No
MyMichigan Medical Center in Sault Ste. Marie — April 2024,Michigan,5,No
Providence — June 2024,Oregon,3,No
Rady Children's Hospital-San Diego — July 2024,California,2,No
UI Health in Chicago — August 2024,Illinois,7,No
Kapiolani Medical Center for Women & Children in Honolulu — September 2024,Hawaii,1,No
University Medical Center in New Orleans — October 2024,Louisiana,1,No
UI Health in Chicago — November 2024,Illinois,4,No
Montefiore Medical Center in the Bronx — January 2023,New York,3,No
Mount Sinai — January 2023,New York,3,No
BronxCare Health System in the Bronx — January 2023,New York,3,No
Flushing Hospital Medical Center in Queens — January 2023,New York,3,No
Richmond University Medical Center in Staten Island — January 2023,New York,3,No
Maimonides Medical Center in Brooklyn — January 2023,New York,3,No
Montefiore Medical Center in the Bronx — January 2023,New York,3,No
Henry Mayo Newhall Hospital in Valencia — March 2023,California,1,No
John Muir Behavioral Health Center in Concord — May 2023,California,1,No
Providence — June 2023,Oregon,5,No
Ascension — June 2023,"Kansas, Texas",1,No
Oahu Care Facility in Honolulu — July 2023,Hawaii,7,No
SSM Health Saint Louis University Hospital in St. Louis — July 2023,Missouri,1,No
Loretto Hospital in Austin — July 2023,Illinois,11,No
Rochester General Hospital in Rochester — August 2023,New York,2,No
Robert Wood Johnson University Hospital in New Brunswick — August 2023,New Jersey,133,No
Trinity Health Grand Haven Hospital in Grand Haven — August 2023,Michigan,1,No
Garfield Medical Center in Monterey Park — August 2023,California,10,No
Ascension Saint Joseph-Joliet in Joliet — August 2023,Illinois,4,No
Cedars-Sinai Marina del Rey Hospital in Los Angeles — September 2023,California,1,No
Ascension Providence Rochester Hospital — September 2023,Michigan,3,No
SSM Health Saint Louis University Hospital in St. Louis — September 2023,Missouri,1,No
Ascension Seton Medical Center Austin (ASMCA) in Austin — September 2023,Texas,1,No
Kaiser Permanente — October 2023,"California, Colorado, Oregon, Washington",3,No
Kaiser Permanente Mid-Atlantic facilities — October 2023,Multiple,1,No
St. Francis Medical Center in Lynwood — October 2023,California,5,No
Providence St. Joseph Medical Center in Burbank — October 2023,California,5,No
PeaceHealth — October 2023,Washington,5,No
Providence Regional Medical Center in Everett — November 2023,Washington,5,No
Howard Brown Health in Chicago — November 2023,Illinois,2,No
Brown Elephant in Chicago — November 2023,Illinois,2,No
Ascension Saint Joseph in Joliet — November 2023,Illinois,2,No
Los Robles Regional Medical Center in Thousand Oaks — November 2023,California,5,No
West Hills Hospital and Medical Center — November 2023,California,5,No
Riverside Community Hospital — November 2023,California,5,No
Ascension — December 2023,"Kansas, Texas",1,No
Cedars-Sinai Marina del Rey Hospital in Marina del Rey — December 2023,California,3,No
Saint Louis University Hospital in St. Louis — December 2023,Missouri,2,No
Armstrong County Memorial Hospital in Kittanning — March 2022,Pennsylvania,5,No
AHMC Seton Medical Center in Daly City — March 2022,California,1,No
Alta Bates Summit Medical Center — April 2022,California,1,No
California Pacific Medical Center — April 2022,California,1,No
Mills-Peninsula Medical Center in Burlingame — April 2022,California,1,No
Eden Medical Center in Castro Valley — April 2022,California,1,No
Sutter — April 2022,California,1,No
Novato Community Hospital in Novato — April 2022,California,1,No
Stanford Hospital in Palo Alto — April 2022,California,5,No
Lucile Packard Children's Hospital in Palo Alto — April 2022,California,5,No
Cedars-Sinai Medical Center in Los Angeles — May 2022,California,5,No
Saint Michael's Medical Center in Newark — May 2022,New Jersey,31,No
AHMC Seton Medical Center in Daly City — June 2022,California,2,No
Kaiser Permanente Los Angeles Medical Center in Los Angeles — June 2022,California,1,No
Sequoia Hospital in Redwood City — July 2022,California,11,No
Kaiser Permanente — August 2022,Hawaii,172,No
Abbott Northwestern Hospital in Minneapolis — September 2022,Minnesota,3,No
United Hospital in St. Paul — September 2022,Minnesota,3,No
Mercy Hospital — September 2022,Minnesota,3,No
University of Minnesota Medical Center Riverside Campus in Minneapolis — September 2022,Minnesota,3,No
Fairview — September 2022,Minnesota,3,No
Methodist Hospital in St. Louis Park — September 2022,Minnesota,3,No
North Memorial Health Hospital in Robbinsdale — September 2022,Minnesota,3,No
Children's Minnesota — September 2022,Minnesota,3,No
Essentia Health St. Mary's — September 2022,"Minnesota, Wisconsin",3,No
St. Luke's Hospital in Duluth — September 2022,Minnesota,3,No
Hartford HealthCare's Windham Hospital in Willimantic — September 2022,Connecticut,2,No
Hartford HealthCare's Windham Hospital in Willimantic — October 2022,Connecticut,2,No
Alta Bates Summit Medical Center — December 2022,California,9,No
Saint Vincent Hospital in Worcester — March 2021,Massachusetts,301,No
Barton Memorial Hospital In South Lake Tahoe — April 2021,California,2,No
Tyler Memorial Hospital in Tunkhannock — April 2021,Pennsylvania,3,No
Chinese Hospital in San Francisco — May 2021,California,1,No
Logan Health in Kalispell — June 2021,Montana,3,No
Cook County Health in Chicago — June 2021,Illinois,18,No
Mercy Hospital in Buffalo — October 2021,New York,35,No
Sutter Delta Medical Center in Antioch — October 2021,California,5,No
McKenzie-Willamette Medical Center in Springfield — October 2021,Oregon,2,No
Abbott Northwestern WestHealth in Plymouth — October 2021,Minnesota,3,No
Cabell Huntington Hospital — November 2021,West Virginia,28,No
Sutter Delta Medical Center in Antioch — November 2021,California,1,No
UPMC in Pittsburgh — November 2021,Pennsylvania,1,No
McKenzie-Willamette Medical Center in Springfield — December 2021,Oregon,5,No
Swedish-Providence in Seattle — January 2020,Washington,3,No
San Joaquin General Hospital in French Camp — March 2020,California,2,No
Community Hospital in Riverside — June 2020,California,10,No
AMITA Health Saint Joseph Medical Center in Joliet — July 2020,Illinois,16,No
Santa Rosa Memorial Hospital in Santa Rosa — July 2020,California,5,No
University of Illinois Hospital in Chicago — September 2020,Illinois,7,No
San Joaquin General Hospital in French Camp — October 2020,California,5,No
San Leandro Hospital — October 2020,California,5,No
Alameda Hospital — October 2020,California,5,No
St. Mary Medical Center in Langhorne — November 2020,Pennsylvania,2,No
